7815,6381,,F,7815,2024/04/26 00:00:00,2026/07/01 00:00:00,2026/07/01 00:00:00,5A760-K0H-J101(J),HNCHGS0004A,10,PC,,,1000,HNCHGS0004W,S,O,N,,,,,,,,,,2026/07/01 00:00:00,2,,,10,2026/07/01 00:00:00
7815,6381,,F,7815,2025/06/20 00:00:00,2026/07/01 00:00:00,2026/07/01 00:00:00,34330-V61_-J312-M1,HNTZZS0004W,192,PC,,,1000,HNTZZS0004W,S,O,N,,,,,,,,,,2026/07/01 00:00:00,2,,,192,2026/07/01 00:00:00
7815,6381,,F,7815,2025/06/20 00:00:00,2026/07/01 00:00:00,2026/07/01 00:00:00,34330-V61_-J312-M1,HNTZZS0004W,256,PC,,,1000,HNTZZS0004W,S,O,N,,,,,,,,,,2026/07/01 00:00:00,2,,,256,2026/07/01 00:00:00
7815,6381,,F,7815,2025/04/15 00:00:00,2026/07/20 00:00:00,2026/07/20 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,384,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/07/20 00:00:00,2,,,384,2026/07/20 00:00:00
7815,6381,,F,7815,2025/12/15 00:00:00,2026/07/20 00:00:00,2026/07/20 00:00:00,34330-V61_-J112-M1,HNTZZS0002W,576,PC,,,1000,HNTZZS0002W,S,O,N,,,,,,,,,,2026/07/20 00:00:00,2,,,576,2026/07/20 00:00:00
7815,6381,0511,F,7815,2026/03/09 00:00:00,2026/05/11 00:00:00,2026/05/11 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,1,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/05/11 00:00:00,2,,,1,2026/05/11 00:00:00
7815,6381,0511,F,7815,2026/03/16 00:00:00,2026/05/11 00:00:00,2026/05/11 00:00:00,34330-V61_-J212-M1,HNTZZS0003W,1,PC,,,1000,HNTZZS0003W,S,O,N,,,,,,,,,,2026/05/11 00:00:00,2,,,1,2026/05/11 00:00:00
7815,6381,0511,F,7815,2026/03/09 00:00:00,2026/05/11 00:00:00,2026/05/11 00:00:00,34330-V61_-J112-M1,HNTZZS0002W,2,PC,,,1000,HNTZZS0002W,S,O,N,,,,,,,,,,2026/05/11 00:00:00,2,,,2,2026/05/11 00:00:00
7815,6381,,F,7815,2025/06/20 00:00:00,2026/07/20 00:00:00,2026/07/20 00:00:00,34330-V61_-J212-M1,HNTZZS0003W,64,PC,,,1000,HNTZZS0003W,S,O,N,,,,,,,,,,2026/07/20 00:00:00,2,,,64,2026/07/20 00:00:00
7815,6381,EX25-00124,F,7815,2026/02/16 00:00:00,2026/05/13 00:00:00,2026/05/13 00:00:00,0920H-70E-J500,HNCHGS0009WW990,960,PC,,,1000,HNCHGS0009WW990,S,O,N,,,,,,,,,,2026/05/13 00:00:00,2,,,960,2026/05/13 00:00:00
7815,6381,,F,7815,2025/01/15 00:00:00,2026/05/16 00:00:00,2026/05/16 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,66,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/05/16 00:00:00,2,,,66,2026/05/16 00:00:00
7815,6381,,F,7815,2024/01/18 00:00:00,2026/05/20 00:00:00,2026/05/20 00:00:00,34330-V61_-J012-M1,HNTZZS0001W,286,PC,,,1000,HNTZZS0001W,S,O,N,,,,,,,,,,2026/05/20 00:00:00,2,,,286,2026/05/20 00:00:00
7815,6381,,F,7815,2025/04/15 00:00:00,2026/05/20 00:00:00,2026/05/20 00:00:00,34330-V61_-J112-M1,HNTZZS0002W,192,PC,,,1000,HNTZZS0002W,S,O,N,,,,,,,,,,2026/05/20 00:00:00,2,,,192,2026/05/20 00:00:00
7815,6381,,F,7815,2025/04/21 00:00:00,2026/05/20 00:00:00,2026/05/20 00:00:00,34330-V61_-J112-M1,HNTZZS0002W,200,PC,,,1000,HNTZZS0002W,S,O,N,,,,,,,,,,2026/05/20 00:00:00,2,,,200,2026/05/20 00:00:00
7815,6381,,F,7815,2025/06/20 00:00:00,2026/05/25 00:00:00,2026/05/25 00:00:00,34330-V61_-J312-M1,HNTZZS0004W,256,PC,,,1000,HNTZZS0004W,S,O,N,,,,,,,,,,2026/05/25 00:00:00,2,,,256,2026/05/25 00:00:00
7815,6381,,F,7815,2025/04/15 00:00:00,2026/06/01 00:00:00,2026/06/01 00:00:00,34330-V61_-J312-M1,HNTZZS0004W,256,PC,,,1000,HNTZZS0004W,S,O,N,,,,,,,,,,2026/06/01 00:00:00,2,,,256,2026/06/01 00:00:00
